Date,Feedback,tokens,Normalized_Feedback,Punctuation_Removal,Remove_stop_words,Lematization,Clean_data,Label,Numeric_Label,Compound_Score
31-Oct-18,hope electricity come back soon,"['I', 'hope', 'the', 'electricity', 'will', 'come', 'back', 'soon']","['i', 'hope', 'the', 'electricity', 'will', 'come', 'back', 'soon']",i hope the electricity will come back soon,hope electricity come back soon,hope electricity come back soon,hope electricity come back soon,Neutral,2,0.4404
31-Oct-18,no elecricity yet,"['There', 'is', 'no', 'elecricity', 'yet']","['there', 'is', 'no', 'elecricity', 'yet']",there is no elecricity yet,elecricity yet,no elecricity yet,no elecricity yet,Negative,1,-0.296
31-Oct-18,thank much linemen work overtime,"['Thank', 'you', 'very', 'much', 'to', 'the', 'Linemen', 'who', 'worked', 'overtime']","['thank', 'you', 'very', 'much', 'to', 'the', 'linemen', 'who', 'worked', 'overtime']",thank you very much to the linemen who worked overtime,thank much linemen worked overtime,thank much linemen work overtime,thank much linemen work overtime,Positive,0,0.3612
31-Oct-18,thank much iselco do good job god bless,"['Thank', 'you', 'very', 'much', 'ISELCO', '.', 'You', 'have', 'done', 'good', 'jobs', '!', 'God', 'bless', '!']","['thank', 'you', 'very', 'much', 'iselco', '.', 'you', 'have', 'done', 'good', 'jobs', '!', 'god', 'bless', '!']",thank you very much iselco  you have done good jobs  god bless ,thank much iselco done good jobs god bless,thank much iselco do good job god bless,thank much iselco do good job god bless,Positive,0,0.8519
31-Oct-18,thank iselco always safe life safety important anything else,"['Thank', 'you', 'iselco', '.', 'Always', 'be', 'safe', '.', 'Your', 'life', 'and', 'safety', 'are', 'more', 'important', 'than', 'anything', 'else', '.']","['thank', 'you', 'iselco', '.', 'always', 'be', 'safe', '.', 'your', 'life', 'and', 'safety', 'are', 'more', 'important', 'than', 'anything', 'else', '.']",thank you iselco  always be safe  your life and safety are more important than anything else ,thank iselco always safe life safety important anything else,thank iselco always safe life safety important anything else,thank iselco always safe life safety important anything else,Positive,0,0.8402
01-Nov-18,thank much iselco,"['Thank', 'you', 'very', 'much', 'ISELCO']","['thank', 'you', 'very', 'much', 'iselco']",thank you very much iselco,thank much iselco,thank much iselco,thank much iselco,Positive,0,0.3612
01-Nov-18,hope next time checklist priority suggest godbless,"['I', 'hope', 'next', 'time', 'you', 'have', 'a', 'checklist', 'of', 'your', 'priorities', '.', 'Just', 'suggesting', '.', 'Godbless']","['i', 'hope', 'next', 'time', 'you', 'have', 'a', 'checklist', 'of', 'your', 'priorities', '.', 'just', 'suggesting', '.', 'godbless']",i hope next time you have a checklist of your priorities  just suggesting  godbless,hope next time checklist priorities suggesting godbless,hope next time checklist priority suggest godbless,hope next time checklist priority suggest godbless,Neutral,2,0.4404
01-Nov-18,iselco prioritizes rich come repair,"['Iselco', 'prioritizes', 'the', 'rich', 'when', 'it', 'comes', 'to', 'repairs']","['iselco', 'prioritizes', 'the', 'rich', 'when', 'it', 'comes', 'to', 'repairs']",iselco prioritizes the rich when it comes to repairs,iselco prioritizes rich comes repairs,iselco prioritizes rich come repair,iselco prioritizes rich come repair,Negative,1,0.5574
01-Nov-18,thank job well do,"['Thank', 'you', 'for', 'job', 'well', 'done', '.']","['thank', 'you', 'for', 'job', 'well', 'done', '.']",thank you for job well done ,thank job well done,thank job well do,thank job well do,Positive,0,0.5574
01-Nov-18,thank electricity restore thank much iselco management,"['thank', 'you', 'and', 'our', 'electricity', 'has', 'been', 'restored', '.', 'Thank', 'you', 'very', 'much', 'ISELCO', 'management', '.']","['thank', 'you', 'and', 'our', 'electricity', 'has', 'been', 'restored', '.', 'thank', 'you', 'very', 'much', 'iselco', 'management', '.']",thank you and our electricity has been restored  thank you very much iselco management ,thank electricity restored thank much iselco management,thank electricity restore thank much iselco management,thank electricity restore thank much iselco management,Positive,0,0.7351
04-Nov-18,salute lineman warrior keep safe,"['Salute', 'to', 'all', 'lineman', 'warriors', '.', 'keep', 'safe', '.']","['salute', 'to', 'all', 'lineman', 'warriors', '.', 'keep', 'safe', '.']",salute to all lineman warriors  keep safe ,salute lineman warriors keep safe,salute lineman warrior keep safe,salute lineman warrior keep safe,Positive,0,0.4404
04-Nov-18,careful know everything u family good time,"['Be', 'careful', '.', 'I', 'know', 'you', 'are', 'doing', 'everything', 'you', 'can', 'so', 'that', 'all', 'of', 'us', 'and', 'your', 'families', 'can', 'have', 'a', 'good', 'time', '.']","['be', 'careful', '.', 'i', 'know', 'you', 'are', 'doing', 'everything', 'you', 'can', 'so', 'that', 'all', 'of', 'us', 'and', 'your', 'families', 'can', 'have', 'a', 'good', 'time', '.']",be careful  i know you are doing everything you can so that all of us and your families can have a good time ,careful know everything us families good time,careful know everything u family good time,careful know everything u family good time,Positive,0,0.5423
04-Nov-18,keep safe iselco brave men thank priceless effort restore electricity salute,"['Keep', 'safe', 'ISELCO', 'brave', 'men', '!', 'Thank', 'you', 'for', 'your', 'priceless', 'efforts', 'to', 'restore', 'the', 'electricity', '.', 'Salute', '!']","['keep', 'safe', 'iselco', 'brave', 'men', '!', 'thank', 'you', 'for', 'your', 'priceless', 'efforts', 'to', 'restore', 'the', 'electricity', '.', 'salute', '!']",keep safe iselco brave men  thank you for your priceless efforts to restore the electricity  salute ,keep safe iselco brave men thank priceless efforts restore electricity salute,keep safe iselco brave men thank priceless effort restore electricity salute,keep safe iselco brave men thank priceless effort restore electricity salute,Positive,0,0.875
04-Nov-18,electricity close aurora branch iselco yet not fix,"['there', 'is', 'no', 'electricity', ',', 'we', 'are', 'close', 'to', 'the', 'aurora', 'branch', 'of', 'Iselco', 'yet', 'you', 'can', 'not', 'fix', 'it']","['there', 'is', 'no', 'electricity', ',', 'we', 'are', 'close', 'to', 'the', 'aurora', 'branch', 'of', 'iselco', 'yet', 'you', 'can', 'not', 'fix', 'it']",there is no electricity  we are close to the aurora branch of iselco yet you can not fix it,electricity close aurora branch iselco yet not fix,electricity close aurora branch iselco yet not fix,electricity close aurora branch iselco yet not fix,Negative,1,0
05-Dec-19,thank much help iriga city facilitate return electricity god bless,"['Thank', 'you', 'so', 'much', '.', 'For', 'helping', 'here', 'in', 'Iriga', 'city', 'to', 'facilitate', 'the', 'return', 'of', 'electricity', '.', 'God', 'bless', '.']","['thank', 'you', 'so', 'much', '.', 'for', 'helping', 'here', 'in', 'iriga', 'city', 'to', 'facilitate', 'the', 'return', 'of', 'electricity', '.', 'god', 'bless', '.']",thank you so much  for helping here in iriga city to facilitate the return of electricity  god bless ,thank much helping iriga city facilitate return electricity god bless,thank much help iriga city facilitate return electricity god bless,thank much help iriga city facilitate return electricity god bless,Positive,0,0.8442
05-Dec-19,careful lineman,"['Be', 'careful', 'Linemans']","['be', 'careful', 'linemans']",be careful linemans,careful linemans,careful lineman,careful lineman,Positive,0,0.1531
05-Dec-19,pray safety protection line warrior light godbless,"['Will', 'pray', 'for', 'your', 'safety', 'and', 'protection', 'line', 'warriors', 'of', 'light', '.', 'Godbless', '!']","['will', 'pray', 'for', 'your', 'safety', 'and', 'protection', 'line', 'warriors', 'of', 'light', '.', 'godbless', '!']",will pray for your safety and protection line warriors of light  godbless ,pray safety protection line warriors light godbless,pray safety protection line warrior light godbless,pray safety protection line warrior light godbless,Positive,0,0.6249
04-Jan-20,bill become double normal something not right,"['My', 'bill', 'became', 'double', 'than', 'the', 'normal', ',', 'something', 'is', 'not', 'right']","['my', 'bill', 'became', 'double', 'than', 'the', 'normal', ',', 'something', 'is', 'not', 'right']",my bill became double than the normal  something is not right,bill became double normal something not right,bill become double normal something not right,bill become double normal something not right,Negative,1,0
22-Feb-20,annoy get good billing service low quality,"['It', 'is', 'annoying', 'how', 'you', 'get', 'so', 'good', 'at', 'billing', ',', 'but', 'your', 'service', 'is', 'low', 'quality']","['it', 'is', 'annoying', 'how', 'you', 'get', 'so', 'good', 'at', 'billing', ',', 'but', 'your', 'service', 'is', 'low', 'quality']",it is annoying how you get so good at billing  but your service is low quality,annoying get good billing service low quality,annoy get good billing service low quality,annoy get good billing service low quality,Negative,1,-0.2732
18-Mar-20,thanks information god bless,"['Thanks', 'for', 'the', 'information', 'God', 'bless', '!']","['thanks', 'for', 'the', 'information', 'god', 'bless', '!']",thanks for the information god bless ,thanks information god bless,thanks information god bless,thanks information god bless,Positive,0,0.7783
27-Mar-20,brownout almost everyday,"['Brownout', 'almost', 'everyday']","['brownout', 'almost', 'everyday']",brownout almost everyday,brownout almost everyday,brownout almost everyday,brownout almost everyday,Negative,1,0
15-Apr-20,maybe come solution constant brownout damage appliance,"['Maybe', 'you', 'can', 'come', 'up', 'with', 'a', 'solution', 'to', 'the', 'constant', 'brownout', ',', 'it', 'damages', 'appliances']","['maybe', 'you', 'can', 'come', 'up', 'with', 'a', 'solution', 'to', 'the', 'constant', 'brownout', ',', 'it', 'damages', 'appliances']",maybe you can come up with a solution to the constant brownout  it damages appliances,maybe come solution constant brownout damages appliances,maybe come solution constant brownout damage appliance,maybe come solution constant brownout damage appliance,Negative,1,-0.2263
15-Apr-20,shock billing notice,"['Shocking', 'billing', 'notice']","['shocking', 'billing', 'notice']",shocking billing notice,shocking billing notice,shock billing notice,shock billing notice,Negative,1,-0.3818
19-Apr-20,electricity bill high service ugly,"['Your', 'electricity', 'bill', 'is', 'so', 'high', ',', 'your', 'service', 'is', 'ugly']","['your', 'electricity', 'bill', 'is', 'so', 'high', ',', 'your', 'service', 'is', 'ugly']",your electricity bill is so high  your service is ugly,electricity bill high service ugly,electricity bill high service ugly,electricity bill high service ugly,Negative,1,-0.5106
19-Apr-20,not need help need good service,"['We', 'do', 'not', 'need', 'your', 'help', '.', 'We', 'need', 'good', 'service', '.']","['we', 'do', 'not', 'need', 'your', 'help', '.', 'we', 'need', 'good', 'service', '.']",we do not need your help  we need good service ,not need help need good service,not need help need good service,not need help need good service,Negative,1,0.1635
19-Apr-20,please explain make appliance like christmas light every night,"['Please', 'explain', 'why', 'you', 'only', 'make', 'our', 'appliances', 'like', 'Christmas', 'lights', 'every', 'night', '?']","['please', 'explain', 'why', 'you', 'only', 'make', 'our', 'appliances', 'like', 'christmas', 'lights', 'every', 'night', '?']",please explain why you only make our appliances like christmas lights every night ,please explain make appliances like christmas lights every night,please explain make appliance like christmas light every night,please explain make appliance like christmas light every night,Neutral,2,0.5859
19-Apr-20,advisory also curfew electricity supply,"['There', 'is', 'no', 'advisory', ',', 'so', 'there', 'is', 'also', 'a', 'curfew', 'on', 'electricity', 'supply']","['there', 'is', 'no', 'advisory', ',', 'so', 'there', 'is', 'also', 'a', 'curfew', 'on', 'electricity', 'supply']",there is no advisory  so there is also a curfew on electricity supply,advisory also curfew electricity supply,advisory also curfew electricity supply,advisory also curfew electricity supply,Negative,1,0
19-Apr-20,keep safe always god bless,"['Keep', 'safe', 'always', '.', 'God', 'bless']","['keep', 'safe', 'always', '.', 'god', 'bless']",keep safe always  god bless,keep safe always god bless,keep safe always god bless,keep safe always god bless,Positive,0,0.7783
19-Apr-20,hope consideration,"['I', 'hope', 'you', 'have', 'consideration']","['i', 'hope', 'you', 'have', 'consideration']",i hope you have consideration,hope consideration,hope consideration,hope consideration,Neutral,2,0.4404
19-Apr-20,maybe someone collect payment home hard go office,"['Maybe', 'someone', 'can', 'collect', 'payment', 'at', 'home', ',', 'it', 'is', 'hard', 'to', 'go', 'to', 'the', 'office']","['maybe', 'someone', 'can', 'collect', 'payment', 'at', 'home', ',', 'it', 'is', 'hard', 'to', 'go', 'to', 'the', 'office']",maybe someone can collect payment at home  it is hard to go to the office,maybe someone collect payment home hard go office,maybe someone collect payment home hard go office,maybe someone collect payment home hard go office,Neutral,2,-0.1027
19-Apr-20,appreciate regular update service interruption,"['I', 'appreciate', 'the', 'regular', 'updates', 'on', 'service', 'interruptions', '.']","['i', 'appreciate', 'the', 'regular', 'updates', 'on', 'service', 'interruptions', '.']",i appreciate the regular updates on service interruptions ,appreciate regular updates service interruptions,appreciate regular update service interruption,appreciate regular update service interruption,Positive,0,0.0516
19-Apr-20,service provide reliable,"['The', 'service', 'provided', 'is', 'reliable']","['the', 'service', 'provided', 'is', 'reliable']",the service provided is reliable,service provided reliable,service provide reliable,service provide reliable,Positive,0,0
19-Apr-20,service quality decrease significantly,"['The', 'service', 'quality', 'has', 'decreased', 'significantly']","['the', 'service', 'quality', 'has', 'decreased', 'significantly']",the service quality has decreased significantly,service quality decreased significantly,service quality decrease significantly,service quality decrease significantly,Negative,1,0
19-Apr-20,frustrate frequent unannounced power outage,"['I', 'am', 'frustrated', 'with', 'the', 'frequent', 'and', 'unannounced', 'power', 'outages', '.']","['i', 'am', 'frustrated', 'with', 'the', 'frequent', 'and', 'unannounced', 'power', 'outages', '.']",i am frustrated with the frequent and unannounced power outages ,frustrated frequent unannounced power outages,frustrate frequent unannounced power outage,frustrate frequent unannounced power outage,Negative,1,-0.4588
19-Apr-20,hotline often busy unresponsive need assistance,"['The', 'hotline', 'is', 'often', 'busy', 'or', 'unresponsive', 'when', 'I', 'need', 'assistance', '.']","['the', 'hotline', 'is', 'often', 'busy', 'or', 'unresponsive', 'when', 'i', 'need', 'assistance', '.']",the hotline is often busy or unresponsive when i need assistance ,hotline often busy unresponsive need assistance,hotline often busy unresponsive need assistance,hotline often busy unresponsive need assistance,Negative,1,0
19-Apr-20,recent bill unexpectedly high receive explanation,"['My', 'recent', 'bill', 'was', 'unexpectedly', 'high', ',', 'and', 'I', 'received', 'no', 'explanation', '.']","['my', 'recent', 'bill', 'was', 'unexpectedly', 'high', ',', 'and', 'i', 'received', 'no', 'explanation', '.']",my recent bill was unexpectedly high  and i received no explanation ,recent bill unexpectedly high received explanation,recent bill unexpectedly high receive explanation,recent bill unexpectedly high receive explanation,Negative,1,0
19-Apr-20,service interruption inconvenient understand issue arise,"['The', 'service', 'interruptions', 'are', 'inconvenient', ',', 'but', 'I', 'understand', 'that', 'issues', 'arise', '.']","['the', 'service', 'interruptions', 'are', 'inconvenient', ',', 'but', 'i', 'understand', 'that', 'issues', 'arise', '.']",the service interruptions are inconvenient  but i understand that issues arise ,service interruptions inconvenient understand issues arise,service interruption inconvenient understand issue arise,service interruption inconvenient understand issue arise,Neutral,2,-0.5994
19-Apr-20,hope see well communication iselco regard outage,"['I', 'hope', 'to', 'see', 'better', 'communication', 'from', 'ISELCO', 'regarding', 'outages', '.']","['i', 'hope', 'to', 'see', 'better', 'communication', 'from', 'iselco', 'regarding', 'outages', '.']",i hope to see better communication from iselco regarding outages ,hope see better communication iselco regarding outages,hope see well communication iselco regard outage,hope see well communication iselco regard outage,Neutral,2,0.6124
19-Apr-20,service acceptable would appreciate transparency,"['The', 'service', 'is', 'acceptable', ',', 'but', 'I', 'would', 'appreciate', 'more', 'transparency', '.']","['the', 'service', 'is', 'acceptable', ',', 'but', 'i', 'would', 'appreciate', 'more', 'transparency', '.']",the service is acceptable  but i would appreciate more transparency ,service acceptable would appreciate transparency,service acceptable would appreciate transparency,service acceptable would appreciate transparency,Neutral,2,0.6124
19-Apr-20,would like receive information schedule outage expect duration,"['I', 'would', 'like', 'to', 'receive', 'more', 'information', 'about', 'scheduled', 'outages', 'and', 'their', 'expected', 'duration', '.']","['i', 'would', 'like', 'to', 'receive', 'more', 'information', 'about', 'scheduled', 'outages', 'and', 'their', 'expected', 'duration', '.']",i would like to receive more information about scheduled outages and their expected duration ,would like receive information scheduled outages expected duration,would like receive information schedule outage expect duration,would like receive information schedule outage expect duration,Neutral,2,0.3612
19-Apr-20,service adequate hope consistency reliability future,"['The', 'service', 'is', 'adequate', ',', 'but', 'I', 'hope', 'for', 'more', 'consistency', 'and', 'reliability', 'in', 'the', 'future', '.']","['the', 'service', 'is', 'adequate', ',', 'but', 'i', 'hope', 'for', 'more', 'consistency', 'and', 'reliability', 'in', 'the', 'future', '.']",the service is adequate  but i hope for more consistency and reliability in the future ,service adequate hope consistency reliability future,service adequate hope consistency reliability future,service adequate hope consistency reliability future,Positive,0,0.5859
19-Apr-20,notice improvement,"['I', 'have', 'noticed', 'some', 'improvements']","['i', 'have', 'noticed', 'some', 'improvements']",i have noticed some improvements,noticed improvements,notice improvement,notice improvement,Positive,0,0.4588
19-Apr-20,billing process fine,"['The', 'billing', 'process', 'is', 'fine']","['the', 'billing', 'process', 'is', 'fine']",the billing process is fine,billing process fine,billing process fine,billing process fine,Positive,0,0.2023
19-Apr-20,wait response regard recent inquiry bill high charge,"['waiting', 'for', 'a', 'response', 'regarding', 'my', 'recent', 'inquiry', 'about', 'my', 'bill', 'and', 'the', 'high', 'charges', '.']","['waiting', 'for', 'a', 'response', 'regarding', 'my', 'recent', 'inquiry', 'about', 'my', 'bill', 'and', 'the', 'high', 'charges', '.']",waiting for a response regarding my recent inquiry about my bill and the high charges ,waiting response regarding recent inquiry bill high charges,wait response regard recent inquiry bill high charge,wait response regard recent inquiry bill high charge,Neutral,2,0
19-Apr-20,service interruption inconvenient,"['The', 'service', 'interruptions', 'are', 'inconvenient']","['the', 'service', 'interruptions', 'are', 'inconvenient']",the service interruptions are inconvenient,service interruptions inconvenient,service interruption inconvenient,service interruption inconvenient,Neutral,2,-0.5994
20-Apr-20,constant brownout christmas light protest none pay,"['constant', 'brownout', ',', 'is', 'this', 'christmas', 'lights', 'or', 'are', 'you', 'protesting', 'because', 'none', 'are', 'paying']","['constant', 'brownout', ',', 'is', 'this', 'christmas', 'lights', 'or', 'are', 'you', 'protesting', 'because', 'none', 'are', 'paying']",constant brownout  is this christmas lights or are you protesting because none are paying,constant brownout christmas lights protesting none paying,constant brownout christmas light protest none pay,constant brownout christmas light protest none pay,Negative,1,-0.1788
21-Apr-20,poor service,"['Very', 'poor', 'service']","['very', 'poor', 'service']",very poor service,poor service,poor service,poor service,Negative,1,-0.4767
21-Apr-20,appliance becomes christmas tree constant brownout,"['Appliancess', 'becomes', 'christmas', 'tree', 'because', 'of', 'constant', 'brownout']","['appliancess', 'becomes', 'christmas', 'tree', 'because', 'of', 'constant', 'brownout']",appliancess becomes christmas tree because of constant brownout,appliancess becomes christmas tree constant brownout,appliance becomes christmas tree constant brownout,appliance becomes christmas tree constant brownout,Negative,1,0
21-Apr-20,please work right,"['Please', 'do', 'your', 'work', 'right']","['please', 'do', 'your', 'work', 'right']",please do your work right,please work right,please work right,please work right,Neutral,2,0.3182
21-Apr-20,unprofessional memo distribute turn power,"['Very', 'unprofessional', ',', 'no', 'memo', 'distributed', 'when', 'turning', 'the', 'power', 'off']","['very', 'unprofessional', ',', 'no', 'memo', 'distributed', 'when', 'turning', 'the', 'power', 'off']",very unprofessional  no memo distributed when turning the power off,unprofessional memo distributed turning power,unprofessional memo distribute turn power,unprofessional memo distribute turn power,Negative,1,-0.5106
21-Apr-20,poor maintenance,"['Poor', 'maintenance']","['poor', 'maintenance']",poor maintenance,poor maintenance,poor maintenance,poor maintenance,Negative,1,-0.4767
21-Apr-20,explain make appliance light like christmas tree,"['explain', 'why', 'you', 'are', 'making', 'the', 'appliances', 'and', 'lights', 'like', 'christmas', 'tree']","['explain', 'why', 'you', 'are', 'making', 'the', 'appliances', 'and', 'lights', 'like', 'christmas', 'tree']",explain why you are making the appliances and lights like christmas tree,explain making appliances lights like christmas tree,explain make appliance light like christmas tree,explain make appliance light like christmas tree,Negative,1,0.3612
21-Apr-20,please work right twenty twenty become bad,"['Please', 'do', 'your', 'work', 'right', '!', 'It', ""'s"", 'twenty', 'twenty', 'and', 'you', 'are', 'becoming', 'worse', '!']","['please', 'do', 'your', 'work', 'right', '!', 'it', ""'s"", 'twenty', 'twenty', 'and', 'you', 'are', 'becoming', 'worse', '!']",please do your work right  it s twenty twenty and you are becoming worse ,please work right twenty twenty becoming worse,please work right twenty twenty become bad,please work right twenty twenty become bad,Negative,1,-0.296
21-Apr-20,poor service indeed,"['Poor', 'service', 'indeed']","['poor', 'service', 'indeed']",poor service indeed,poor service indeed,poor service indeed,poor service indeed,Negative,1,-0.4767
21-Apr-20,unprofessional real,"['Very', 'unprofessional', 'to', 'be', 'real']","['very', 'unprofessional', 'to', 'be', 'real']",very unprofessional to be real,unprofessional real,unprofessional real,unprofessional real,Negative,1,-0.5106
21-Apr-20,another night power outage,"['Another', 'night', 'with', 'power', 'outage']","['another', 'night', 'with', 'power', 'outage']",another night with power outage,another night power outage,another night power outage,another night power outage,Negative,1,0
21-Apr-20,improve service childrens suffer well cut electricity morning rather night,"['improve', 'your', 'service', ',', 'the', 'childrens', 'are', 'suffering', ',', 'it', 'is', 'better', 'if', 'you', 'cut', 'electricity', 'at', 'morning', 'rather', 'than', 'night']","['improve', 'your', 'service', ',', 'the', 'childrens', 'are', 'suffering', ',', 'it', 'is', 'better', 'if', 'you', 'cut', 'electricity', 'at', 'morning', 'rather', 'than', 'night']",improve your service  the childrens are suffering  it is better if you cut electricity at morning rather than night,improve service childrens suffering better cut electricity morning rather night,improve service childrens suffer well cut electricity morning rather night,improve service childrens suffer well cut electricity morning rather night,Negative,1,-0.1531
21-Apr-20,not reccomend iselco,"['I', 'do', 'not', 'reccomend', 'ISELCo']","['i', 'do', 'not', 'reccomend', 'iselco']",i do not reccomend iselco,not reccomend iselco,not reccomend iselco,not reccomend iselco,Negative,1,0
22-Apr-20,bad service ever electric cooperative,"['The', 'worst', 'service', 'ever', 'for', 'an', 'electric', 'cooperative']","['the', 'worst', 'service', 'ever', 'for', 'an', 'electric', 'cooperative']",the worst service ever for an electric cooperative,worst service ever electric cooperative,bad service ever electric cooperative,bad service ever electric cooperative,Negative,1,-0.5423
22-Apr-20,poor service every summer season,"['Very', 'poor', 'service', 'every', 'summer', 'season']","['very', 'poor', 'service', 'every', 'summer', 'season']",very poor service every summer season,poor service every summer season,poor service every summer season,poor service every summer season,Negative,1,-0.4767
22-Apr-20,notice power,"['There', 'is', 'no', 'notice', 'when', 'the', 'power', 'will', 'be', 'off']","['there', 'is', 'no', 'notice', 'when', 'the', 'power', 'will', 'be', 'off']",there is no notice when the power will be off,notice power,notice power,notice power,Negative,1,0
22-Apr-20,bad service ever,"['The', 'worst', 'service', 'ever']","['the', 'worst', 'service', 'ever']",the worst service ever,worst service ever,bad service ever,bad service ever,Negative,1,-0.5423
