Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Self Control,Addiction Level,CurrentActivity,ConnectionType,Average Video Length,Engagement Rate,Time Spent Per Session
42,Female,India,94603,True,True,Labor/Worker,Rural,TikTok,181,8,7,9834,9,14,32,38,Evening,6,4,8,2,At work,Mobile Data,0.4375,307.3125,22.625
44,Male,India,57481,True,False,Driver,Urban,TikTok,118,10,5,2160,5,16,10,91,Evening,6,4,8,2,At home,Wi-Fi,1.6,216.0,11.8
59,Male,United States,29557,False,True,Driver,Rural,Instagram,193,13,21,5878,9,23,40,36,Morning,8,2,10,0,At school,Wi-Fi,0.575,146.95,14.846153846153847
45,Male,United States,94971,True,False,Students,Rural,Facebook,207,8,18,7663,7,29,38,87,Afternoon,5,5,7,3,At home,Mobile Data,0.7631578947368421,201.6578947368421,25.875
33,Male,India,20162,False,True,Labor/Worker,Rural,Instagram,96,4,23,3749,9,15,22,55,Night,3,7,5,5,Commuting,Mobile Data,0.6818181818181818,170.4090909090909,24.0
32,Other,Mexico,54742,True,False,Waiting staff,Rural,Facebook,210,4,12,2922,7,19,14,85,Evening,6,4,8,2,At work,Mobile Data,1.3571428571428572,208.71428571428572,52.5
64,Female,Vietnam,39675,False,True,Students,Rural,TikTok,284,5,6,6486,9,27,17,13,Evening,6,4,8,2,At school,Mobile Data,1.588235294117647,381.52941176470586,56.8
61,Other,Mexico,93997,True,False,Students,Urban,TikTok,220,1,27,8112,2,9,21,37,Night,3,7,5,5,At home,Wi-Fi,0.42857142857142855,386.2857142857143,220.0
20,Male,United States,37015,False,True,Labor/Worker,Rural,TikTok,127,17,1,8771,8,5,48,47,Night,3,7,5,5,At home,Mobile Data,0.10416666666666667,182.72916666666666,7.470588235294118
54,Male,Philippines,70057,True,False,Students,Urban,YouTube,200,2,4,3804,7,5,15,90,Afternoon,5,5,7,3,At school,Wi-Fi,0.3333333333333333,253.6,100.0
24,Male,Barzil,52591,True,True,Cashier,Rural,YouTube,51,8,19,4878,6,11,15,71,Night,3,7,5,5,At home,Mobile Data,0.7333333333333333,325.2,6.375
38,Male,Germany,29833,False,False,Students,Rural,YouTube,51,7,12,2368,5,28,1,22,Afternoon,5,5,7,3,Commuting,Mobile Data,28.0,2368.0,7.285714285714286
26,Male,Pakistan,27896,False,True,Waiting staff,Urban,Instagram,285,15,15,8093,4,20,24,39,Evening,6,4,8,2,At work,Mobile Data,0.8333333333333334,337.2083333333333,19.0
56,Male,India,52972,True,False,Students,Urban,TikTok,26,5,3,3932,7,25,12,87,Evening,6,4,8,2,At school,Mobile Data,2.0833333333333335,327.6666666666667,5.2
35,Other,Indonesia,69733,True,True,Cashier,Rural,TikTok,292,2,23,5608,3,24,10,58,Morning,8,2,10,0,At home,Mobile Data,2.4,560.8,146.0
21,Female,Pakistan,61800,True,False,Waiting staff,Rural,Instagram,267,7,27,6635,8,28,46,30,Night,3,7,5,5,At school,Mobile Data,0.6086956521739131,144.2391304347826,38.142857142857146
42,Other,Philippines,25347,False,True,Labor/Worker,Urban,YouTube,72,8,28,6395,2,4,42,18,Evening,6,4,8,2,Commuting,Mobile Data,0.09523809523809523,152.26190476190476,9.0
31,Female,Pakistan,79063,True,False,Waiting staff,Rural,Instagram,71,7,26,6101,1,20,42,18,Evening,6,4,8,2,At home,Mobile Data,0.47619047619047616,145.26190476190476,10.142857142857142
26,Male,Vietnam,22643,False,True,Labor/Worker,Rural,YouTube,109,7,20,9292,2,18,31,74,Afternoon,5,5,7,3,At school,Mobile Data,0.5806451612903226,299.741935483871,15.571428571428571
43,Male,Japan,60785,True,True,Students,Rural,TikTok,28,14,28,9862,9,25,11,39,Night,3,7,5,5,At work,Mobile Data,2.272727272727273,896.5454545454545,2.0
19,Female,India,38681,False,True,Students,Rural,Facebook,26,18,8,5531,5,3,16,94,Evening,6,4,8,2,At school,Wi-Fi,0.1875,345.6875,1.4444444444444444
37,Male,United States,70026,True,True,Students,Urban,YouTube,255,6,11,4970,8,4,9,26,Afternoon,5,5,7,3,At home,Mobile Data,0.4444444444444444,552.2222222222222,42.5
45,Female,United States,35892,False,False,Waiting staff,Rural,TikTok,260,4,16,6344,3,14,47,71,Afternoon,5,5,7,3,At home,Wi-Fi,0.2978723404255319,134.9787234042553,65.0
64,Other,Mexico,67299,True,True,Driver,Rural,TikTok,90,10,9,8408,7,7,14,7,Evening,6,4,8,2,At home,Mobile Data,0.5,600.5714285714286,9.0
24,Male,Germany,37073,False,False,Students,Rural,Facebook,48,18,3,375,2,26,19,69,Evening,6,4,8,2,Commuting,Mobile Data,1.368421052631579,19.736842105263158,2.6666666666666665
61,Male,Vietnam,50682,True,False,Driver,Rural,TikTok,45,12,5,7887,8,8,31,65,Afternoon,5,5,7,3,At work,Mobile Data,0.25806451612903225,254.41935483870967,3.75
25,Other,India,34289,False,False,Cashier,Rural,TikTok,206,16,20,1609,7,24,9,46,Evening,6,4,8,2,At home,Mobile Data,2.6666666666666665,178.77777777777777,12.875
64,Male,Japan,27927,False,False,Manager,Rural,YouTube,167,7,14,2939,5,16,36,18,Night,3,7,5,5,At home,Wi-Fi,0.4444444444444444,81.63888888888889,23.857142857142858
52,Male,Indonesia,68330,True,False,Labor/Worker,Rural,YouTube,213,6,28,4062,4,20,39,13,Afternoon,5,5,7,3,At school,Mobile Data,0.5128205128205128,104.15384615384616,35.5
31,Male,United States,86707,True,True,Waiting staff,Rural,Facebook,205,5,26,1613,1,15,26,25,Afternoon,5,5,7,3,At home,Mobile Data,0.5769230769230769,62.03846153846154,41.0
34,Male,Vietnam,97454,True,False,Waiting staff,Rural,Facebook,225,3,15,6578,5,7,8,8,Night,3,7,5,5,At school,Mobile Data,0.875,822.25,75.0
53,Male,Japan,85428,True,False,Driver,Urban,TikTok,294,12,6,7851,9,26,24,74,Night,3,7,5,5,At home,Mobile Data,1.0833333333333333,327.125,24.5
57,Female,Germany,70601,True,True,Driver,Rural,YouTube,205,15,27,3679,4,17,8,32,Afternoon,5,5,7,3,At home,Wi-Fi,2.125,459.875,13.666666666666666
21,Other,United States,97465,True,True,Waiting staff,Urban,Facebook,161,10,26,7540,9,22,19,17,Afternoon,5,5,7,3,Commuting,Wi-Fi,1.1578947368421053,396.8421052631579,16.1
19,Male,United States,22539,False,True,Waiting staff,Rural,Facebook,23,19,4,9488,2,22,47,79,Evening,6,4,8,2,At school,Mobile Data,0.46808510638297873,201.87234042553192,1.2105263157894737
23,Male,Vietnam,42669,False,False,Students,Rural,Instagram,155,16,8,7074,4,22,48,79,Evening,6,4,8,2,Commuting,Wi-Fi,0.4583333333333333,147.375,9.6875
59,Male,United States,90968,True,False,Teacher,Rural,Facebook,66,11,19,3996,9,12,30,48,Afternoon,5,5,7,3,At school,Mobile Data,0.4,133.2,6.0
21,Other,India,40644,False,False,Teacher,Rural,TikTok,220,8,27,4786,4,18,22,63,Afternoon,5,5,7,3,At home,Mobile Data,0.8181818181818182,217.54545454545453,27.5
46,Other,India,38745,False,True,Cashier,Rural,YouTube,277,3,5,5695,5,24,9,40,Evening,6,4,8,2,Commuting,Mobile Data,2.6666666666666665,632.7777777777778,92.33333333333333
35,Male,Mexico,48228,False,False,Students,Rural,Facebook,219,7,13,9347,8,14,44,84,Evening,6,4,8,2,At home,Mobile Data,0.3181818181818182,212.4318181818182,31.285714285714285
43,Male,Vietnam,54521,True,False,Artist,Rural,Instagram,26,7,16,6998,1,15,48,15,Night,3,7,5,5,At home,Wi-Fi,0.3125,145.79166666666666,3.7142857142857144
61,Female,Mexico,46928,False,False,Students,Rural,YouTube,295,14,1,2366,1,15,4,99,Evening,6,4,8,2,At home,Mobile Data,3.75,591.5,21.071428571428573
51,Female,Vietnam,38322,False,False,Students,Rural,Facebook,212,2,13,6764,9,5,37,6,Afternoon,5,5,7,3,At school,Mobile Data,0.13513513513513514,182.8108108108108,106.0
27,Male,Indonesia,77714,True,True,Labor/Worker,Urban,Instagram,108,10,22,8976,9,16,8,94,Night,3,7,5,5,At home,Wi-Fi,2.0,1122.0,10.8
53,Male,Vietnam,82292,True,False,Engineer,Rural,Facebook,288,19,11,9273,4,5,1,63,Evening,6,4,8,2,At school,Mobile Data,5.0,9273.0,15.157894736842104
31,Female,Germany,49055,False,True,Waiting staff,Urban,YouTube,218,9,21,1614,2,2,28,8,Night,3,7,5,5,At home,Mobile Data,0.07142857142857142,57.642857142857146,24.22222222222222
48,Other,Philippines,62891,True,False,Driver,Rural,YouTube,138,16,8,4555,9,20,6,95,Night,3,7,5,5,At school,Mobile Data,3.3333333333333335,759.1666666666666,8.625
32,Male,United States,26588,False,True,Labor/Worker,Rural,YouTube,297,19,25,2416,4,28,47,32,Night,3,7,5,5,At home,Mobile Data,0.5957446808510638,51.40425531914894,15.631578947368421
25,Female,India,26304,False,False,Driver,Rural,TikTok,261,18,8,7288,6,25,36,45,Night,3,7,5,5,Commuting,Wi-Fi,0.6944444444444444,202.44444444444446,14.5
31,Male,India,27345,False,True,Labor/Worker,Rural,Facebook,274,9,24,6862,1,9,11,52,Afternoon,5,5,7,3,Commuting,Mobile Data,0.8181818181818182,623.8181818181819,30.444444444444443
40,Other,Japan,49300,False,False,Labor/Worker,Rural,TikTok,280,16,28,3653,9,22,5,79,Evening,6,4,8,2,At school,Wi-Fi,4.4,730.6,17.5
57,Male,United States,44259,False,True,Driver,Rural,YouTube,197,13,14,6639,5,27,24,82,Night,3,7,5,5,At school,Mobile Data,1.125,276.625,15.153846153846153
38,Male,United States,35352,False,False,Driver,Rural,Instagram,223,10,13,496,3,9,47,13,Evening,6,4,8,2,At home,Mobile Data,0.19148936170212766,10.553191489361701,22.3
33,Male,Pakistan,53365,True,True,Labor/Worker,Urban,Facebook,292,14,3,504,4,4,18,24,Afternoon,5,5,7,3,At school,Mobile Data,0.2222222222222222,28.0,20.857142857142858
62,Male,Philippines,39446,False,False,Students,Rural,TikTok,220,12,4,7699,1,15,20,40,Evening,6,4,8,2,Commuting,Mobile Data,0.75,384.95,18.333333333333332
35,Male,India,22336,False,True,Waiting staff,Urban,Facebook,85,19,27,5733,9,11,28,14,Afternoon,5,5,7,3,At work,Mobile Data,0.39285714285714285,204.75,4.473684210526316
64,Male,Barzil,82032,True,False,Labor/Worker,Urban,Instagram,157,7,20,8055,8,1,13,92,Night,3,7,5,5,At home,Wi-Fi,0.07692307692307693,619.6153846153846,22.428571428571427
41,Other,India,95415,True,True,Waiting staff,Rural,TikTok,222,15,15,3216,4,18,5,75,Night,3,7,5,5,At home,Wi-Fi,3.6,643.2,14.8
43,Female,Indonesia,27521,False,False,Engineer,Rural,YouTube,118,16,15,5688,2,29,30,70,Night,3,7,5,5,At home,Wi-Fi,0.9666666666666667,189.6,7.375
42,Other,United States,91707,True,True,Manager,Rural,TikTok,138,8,27,9600,9,1,1,62,Night,3,7,5,5,At home,Mobile Data,1.0,9600.0,17.25
62,Female,United States,43481,False,False,Students,Rural,Facebook,19,10,21,4364,4,8,22,89,Night,3,7,5,5,At work,Mobile Data,0.36363636363636365,198.36363636363637,1.9
58,Female,Germany,38474,False,True,Waiting staff,Rural,Facebook,56,4,13,6042,9,25,18,61,Night,3,7,5,5,At school,Wi-Fi,1.3888888888888888,335.6666666666667,14.0
46,Male,United States,66760,True,False,Waiting staff,Rural,Facebook,105,19,9,1477,3,16,46,1,Afternoon,5,5,7,3,At school,Mobile Data,0.34782608695652173,32.108695652173914,5.526315789473684
32,Male,India,75718,True,True,Students,Rural,Facebook,112,19,28,4960,7,26,5,89,Night,3,7,5,5,Commuting,Wi-Fi,5.2,992.0,5.894736842105263
62,Female,India,64629,True,False,Students,Rural,YouTube,155,15,25,2397,7,28,31,66,Night,3,7,5,5,At school,Mobile Data,0.9032258064516129,77.3225806451613,10.333333333333334
18,Male,India,65232,True,True,Driver,Rural,TikTok,36,14,10,8301,4,22,6,32,Night,3,7,5,5,At work,Wi-Fi,3.6666666666666665,1383.5,2.5714285714285716
42,Other,Vietnam,87169,True,True,Manager,Rural,YouTube,229,1,29,8841,2,18,27,13,Evening,6,4,8,2,At work,Wi-Fi,0.6666666666666666,327.44444444444446,229.0
24,Other,Pakistan,70669,True,True,Students,Rural,YouTube,27,16,12,6194,9,22,25,33,Morning,8,2,10,0,At home,Wi-Fi,0.88,247.76,1.6875
26,Male,United States,98021,True,True,Students,Urban,YouTube,176,10,14,7570,4,9,29,32,Evening,6,4,8,2,At home,Wi-Fi,0.3103448275862069,261.0344827586207,17.6
41,Female,United States,89184,True,False,Waiting staff,Urban,Facebook,91,19,1,7730,8,12,28,56,Afternoon,5,5,7,3,At work,Mobile Data,0.42857142857142855,276.07142857142856,4.7894736842105265
18,Male,India,67945,True,True,Engineer,Rural,Facebook,81,3,14,1499,2,19,16,24,Night,3,7,5,5,At work,Wi-Fi,1.1875,93.6875,27.0
61,Female,Mexico,33140,False,False,Waiting staff,Urban,Facebook,263,5,14,7235,8,25,12,91,Evening,6,4,8,2,At home,Wi-Fi,2.0833333333333335,602.9166666666666,52.6
25,Male,Germany,34357,False,False,Engineer,Rural,TikTok,171,9,8,595,5,18,20,4,Afternoon,5,5,7,3,At work,Wi-Fi,0.9,29.75,19.0
41,Male,Germany,88673,True,False,Waiting staff,Rural,Instagram,47,18,16,978,7,27,18,88,Night,3,7,5,5,Commuting,Mobile Data,1.5,54.333333333333336,2.611111111111111
28,Male,India,85633,True,False,Engineer,Urban,Facebook,210,11,14,730,7,5,34,23,Night,3,7,5,5,At school,Wi-Fi,0.14705882352941177,21.470588235294116,19.09090909090909
34,Female,Japan,96943,True,False,Engineer,Rural,TikTok,209,16,1,56,9,27,23,29,Night,3,7,5,5,At work,Mobile Data,1.173913043478261,2.4347826086956523,13.0625
25,Female,India,98258,True,True,Driver,Urban,Facebook,264,2,16,2243,3,2,45,98,Night,3,7,5,5,At home,Mobile Data,0.044444444444444446,49.84444444444444,132.0
52,Male,Philippines,32924,False,False,Labor/Worker,Rural,Facebook,188,12,18,5879,4,7,27,21,Evening,6,4,8,2,At home,Mobile Data,0.25925925925925924,217.74074074074073,15.666666666666666
52,Female,Japan,89286,True,False,Labor/Worker,Urban,YouTube,44,6,7,1701,4,27,49,30,Night,3,7,5,5,At home,Mobile Data,0.5510204081632653,34.714285714285715,7.333333333333333
50,Male,Barzil,94071,True,True,Waiting staff,Rural,YouTube,91,11,15,7229,5,10,17,90,Night,3,7,5,5,At work,Wi-Fi,0.5882352941176471,425.2352941176471,8.272727272727273
22,Male,Mexico,77326,True,True,Artist,Rural,YouTube,229,8,24,1286,6,15,48,20,Evening,6,4,8,2,At home,Wi-Fi,0.3125,26.791666666666668,28.625
59,Male,Germany,50651,True,True,Labor/Worker,Rural,TikTok,167,12,17,8303,3,25,21,16,Night,3,7,5,5,At work,Mobile Data,1.1904761904761905,395.3809523809524,13.916666666666666
56,Female,India,90202,True,False,Waiting staff,Rural,Instagram,13,2,19,9393,4,7,40,67,Night,3,7,5,5,At home,Wi-Fi,0.175,234.825,6.5
58,Female,Barzil,68777,True,False,Labor/Worker,Rural,Instagram,176,9,23,947,3,28,31,49,Evening,6,4,8,2,At home,Wi-Fi,0.9032258064516129,30.548387096774192,19.555555555555557
45,Female,Vietnam,36994,False,False,Labor/Worker,Rural,TikTok,213,15,13,4121,2,5,3,58,Evening,6,4,8,2,At work,Mobile Data,1.6666666666666667,1373.6666666666667,14.2
24,Male,Indonesia,87263,True,True,Teacher,Rural,Facebook,203,2,9,6553,9,15,17,44,Evening,6,4,8,2,At home,Wi-Fi,0.8823529411764706,385.47058823529414,101.5
26,Male,United States,79634,True,False,Students,Rural,TikTok,244,1,24,757,1,20,26,25,Night,3,7,5,5,At school,Mobile Data,0.7692307692307693,29.115384615384617,244.0
25,Male,Barzil,30800,False,False,Students,Urban,Facebook,215,10,24,5651,2,28,23,23,Night,3,7,5,5,At school,Mobile Data,1.2173913043478262,245.69565217391303,21.5
29,Female,Philippines,57823,True,False,Cashier,Rural,TikTok,159,2,15,7273,8,20,6,59,Evening,6,4,8,2,At work,Wi-Fi,3.3333333333333335,1212.1666666666667,79.5
51,Male,United States,83878,True,False,Driver,Rural,TikTok,168,12,25,3535,7,15,28,1,Evening,6,4,8,2,At work,Wi-Fi,0.5357142857142857,126.25,14.0
50,Other,India,38708,False,True,Labor/Worker,Rural,TikTok,288,8,26,2293,1,10,8,97,Evening,6,4,8,2,At work,Mobile Data,1.25,286.625,36.0
40,Female,Pakistan,32819,False,False,Engineer,Rural,Instagram,175,5,3,1104,5,24,45,15,Night,3,7,5,5,At home,Wi-Fi,0.5333333333333333,24.533333333333335,35.0
41,Other,Vietnam,94905,True,True,Labor/Worker,Rural,YouTube,77,1,24,8853,6,26,8,81,Night,3,7,5,5,At work,Mobile Data,3.25,1106.625,77.0
54,Other,Barzil,83870,True,False,Labor/Worker,Rural,TikTok,97,15,1,908,5,29,19,98,Night,3,7,5,5,At home,Mobile Data,1.5263157894736843,47.78947368421053,6.466666666666667
52,Female,Mexico,29283,False,True,Artist,Urban,Instagram,226,6,16,6539,4,26,38,81,Evening,6,4,8,2,Commuting,Mobile Data,0.6842105263157895,172.07894736842104,37.666666666666664
61,Other,India,50573,True,False,Waiting staff,Rural,YouTube,10,12,8,4617,1,14,29,52,Evening,6,4,8,2,At home,Wi-Fi,0.4827586206896552,159.20689655172413,0.8333333333333334
57,Male,United States,98707,True,True,Driver,Rural,YouTube,144,8,29,7069,7,26,23,58,Night,3,7,5,5,At home,Wi-Fi,1.1304347826086956,307.3478260869565,18.0
39,Female,India,50933,True,False,Driver,Rural,TikTok,194,13,23,2311,9,26,47,41,Evening,6,4,8,2,At school,Mobile Data,0.5531914893617021,49.170212765957444,14.923076923076923
44,Female,Barzil,25774,False,True,Cashier,Rural,Facebook,149,19,13,789,6,10,32,44,Night,3,7,5,5,At school,Mobile Data,0.3125,24.65625,7.842105263157895
52,Male,Mexico,92055,True,False,Labor/Worker,Rural,Facebook,115,1,8,171,3,17,10,4,Night,3,7,5,5,At school,Wi-Fi,1.7,17.1,115.0
18,Other,Philippines,30983,False,True,Waiting staff,Rural,Facebook,142,11,17,7989,4,21,27,77,Afternoon,5,5,7,3,At school,Wi-Fi,0.7777777777777778,295.8888888888889,12.909090909090908
52,Female,Indonesia,38133,False,False,Students,Urban,TikTok,117,1,22,1885,5,14,49,68,Evening,6,4,8,2,At home,Wi-Fi,0.2857142857142857,38.46938775510204,117.0
54,Male,United States,34939,False,True,Driver,Urban,Facebook,187,8,23,8667,1,2,1,7,Evening,6,4,8,2,At home,Mobile Data,2.0,8667.0,23.375
64,Male,Indonesia,20781,False,False,Artist,Rural,Instagram,155,5,14,1049,5,16,39,46,Night,3,7,5,5,At home,Mobile Data,0.41025641025641024,26.897435897435898,31.0
31,Female,India,76700,True,True,Waiting staff,Rural,Instagram,83,17,27,4129,1,13,29,9,Night,3,7,5,5,Commuting,Mobile Data,0.4482758620689655,142.3793103448276,4.882352941176471
20,Male,India,47624,False,False,Students,Rural,Instagram,117,8,21,1161,9,27,45,87,Afternoon,5,5,7,3,At school,Mobile Data,0.6,25.8,14.625
18,Female,Barzil,26823,False,True,Driver,Rural,Instagram,131,10,21,815,7,9,3,33,Afternoon,5,5,7,3,At home,Mobile Data,3.0,271.6666666666667,13.1
22,Female,Barzil,38489,False,False,Manager,Rural,YouTube,26,2,7,3766,3,7,47,33,Evening,6,4,8,2,At home,Mobile Data,0.14893617021276595,80.12765957446808,13.0
43,Female,Pakistan,59961,True,True,Cashier,Rural,Instagram,205,9,27,8945,9,16,37,84,Night,3,7,5,5,At home,Mobile Data,0.43243243243243246,241.75675675675674,22.77777777777778
31,Female,Germany,49118,False,False,Labor/Worker,Rural,Facebook,261,3,15,4661,2,10,31,4,Night,3,7,5,5,At work,Mobile Data,0.3225806451612903,150.3548387096774,87.0
56,Male,Pakistan,42263,False,True,Students,Rural,TikTok,128,18,16,8653,7,24,11,65,Morning,8,2,10,0,Commuting,Mobile Data,2.1818181818181817,786.6363636363636,7.111111111111111
44,Male,India,33565,False,False,Students,Rural,Facebook,171,7,19,3239,9,22,22,34,Afternoon,5,5,7,3,At school,Wi-Fi,1.0,147.22727272727272,24.428571428571427
26,Female,India,40354,False,True,Students,Rural,Instagram,207,15,6,8272,6,9,18,91,Afternoon,5,5,7,3,At work,Mobile Data,0.5,459.55555555555554,13.8
32,Male,India,62951,True,True,Engineer,Urban,YouTube,54,18,23,2804,5,22,35,85,Evening,6,4,8,2,At home,Mobile Data,0.6285714285714286,80.11428571428571,3.0
32,Female,Pakistan,43648,False,True,Engineer,Rural,Instagram,188,3,1,8031,7,23,6,88,Evening,6,4,8,2,At school,Mobile Data,3.8333333333333335,1338.5,62.666666666666664
43,Female,Mexico,70729,True,True,Engineer,Urban,TikTok,53,14,12,869,6,7,3,79,Night,3,7,5,5,Commuting,Mobile Data,2.3333333333333335,289.6666666666667,3.7857142857142856
59,Male,Mexico,61971,True,False,Waiting staff,Rural,Facebook,280,2,18,5526,5,16,5,99,Morning,8,2,10,0,At work,Mobile Data,3.2,1105.2,140.0
30,Other,India,38658,False,True,Engineer,Rural,TikTok,87,14,16,7741,2,9,9,64,Evening,6,4,8,2,Commuting,Mobile Data,1.0,860.1111111111111,6.214285714285714
49,Male,Vietnam,41253,False,False,Waiting staff,Rural,TikTok,187,11,12,4694,8,27,28,25,Night,3,7,5,5,At work,Mobile Data,0.9642857142857143,167.64285714285714,17.0
56,Male,Germany,84166,True,False,Labor/Worker,Urban,TikTok,12,16,20,8998,7,24,19,55,Morning,8,2,10,0,At home,Wi-Fi,1.263157894736842,473.57894736842104,0.75
49,Other,Mexico,68563,True,False,Engineer,Rural,Facebook,223,8,13,1934,6,29,28,9,Evening,6,4,8,2,At home,Wi-Fi,1.0357142857142858,69.07142857142857,27.875
21,Male,Japan,46390,False,False,Cashier,Rural,Instagram,83,7,8,5172,5,17,27,17,Evening,6,4,8,2,At school,Mobile Data,0.6296296296296297,191.55555555555554,11.857142857142858
47,Other,United States,71578,True,False,Artist,Urban,TikTok,60,11,27,703,5,20,13,21,Afternoon,5,5,7,3,At home,Mobile Data,1.5384615384615385,54.07692307692308,5.454545454545454
